time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,pinn_E,pinn_N,pinn_U
6.599999904632568359e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.713436156365849783e+00,-3.551002890028257752e+00,2.773965908745202569e+01,9.934375582670949001e-01,1.968773303849502554e-01,1.095354096683593070e+00
6.699999809265136719e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.910014549711785747e+00,-3.977888824848094806e+00,2.697468226873788666e+01,1.532326141813836529e+00,-1.596085312274852619e+00,1.660738559952719129e-01
6.799999952316284180e+00,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,2.949294635801155806e+00,-3.912056654983411264e+00,2.710448517754190334e+01,1.710438320188362837e+00,-3.032452765044073573e-01,5.405410762082851761e-01
6.899999856948852539e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,2.622555486322417195e+00,-3.909286275686243428e+00,2.690100948046145390e+01,9.469123998890065508e-01,-2.928586156978401078e-01,-1.842908458858971699e-01
7.000000000000000000e+00,-1.029827953011645120e-02,1.107355549948867840e-02,-7.999999493818575266e-03,2.566269590320480631e+00,-3.924571661044841342e+00,2.688679726859878016e+01,1.398218466701401042e+00,6.251510104639477206e-01,1.452503993208260624e-01
7.099999904632568359e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.016751400287349227e+01,6.448081474204116148e+00,4.046960508604787776e+01,1.418543971135211024e+00,-3.245880136961432072e-02,1.027027749796651790e+01
7.199999809265136719e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,1.024997125066575876e+01,6.412326392615046444e+00,4.051564555078888219e+01,-1.217795809382451466e-01,1.447813567602839413e+00,6.279920624794009143e+00
7.299999952316284180e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,1.027882220274418756e+01,6.366297429789133488e+00,4.048599313786493781e+01,1.033696432175339908e+00,1.167980378855295598e+00,5.907425156144967104e+00
7.399999856948852539e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,1.018583922870707603e+01,6.381836350122183532e+00,4.050775812197444736e+01,-1.138262223427286557e-01,2.186114723840445251e+00,5.163918953425863378e+00
7.500000000000000000e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,1.033342572900192380e+01,6.346961290788215138e+00,4.044553218479984480e+01,8.087408229960644235e-01,1.626185686540168263e+00,5.384785991867715893e+00
7.599999904632568359e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.030737974863983197e+01,6.344228721723855102e+00,4.047098094270342017e+01,-2.880077101614375579e-01,3.964972268202906491e-01,5.896050751663381106e+00
7.699999809265136719e+00,3.398059216820625839e-10,4.733053489067162722e-11,-8.999999865770651197e-03,1.012323058053513236e+01,6.398084311253375844e+00,4.043576217100611814e+01,2.578426639701909551e-01,8.020907924240301412e-01,6.082548383927260716e+00
7.799999952316284180e+00,2.745367778597684882e-11,9.883588739101334397e-12,-6.000001488392468427e-03,1.021954994864703004e+01,6.351179003791161293e+00,4.046087040376347232e+01,-4.116336756205480896e-01,8.332189322274405896e-01,6.030560154434859044e+00
7.899999856948852539e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,1.017443312471406358e+01,6.370077097820178835e+00,4.048913134792363167e+01,-4.596534841726551690e-01,1.110479796337024538e+00,5.851273910789842603e+00
8.000000000000000000e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.031932879646109136e+01,6.303190611344724914e+00,4.049674039563021211e+01,-4.227156523914477049e-01,1.499579809647947570e+00,5.697420651520104684e+00
8.099999904632568359e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.041252184706012329e+01,6.255699581333260539e+00,4.046735108559432348e+01,5.384402354268225110e-01,1.893138832279305461e+00,5.785598403862145744e+00
8.199999809265136719e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,1.028786302144103004e+01,6.274608798827856049e+00,4.040161359028087418e+01,1.088036780901479261e+00,2.057283111419408783e+00,6.479362842600210115e+00
8.299999952316284180e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,1.049230064500425996e+01,6.205563173978873692e+00,4.032150132858228631e+01,1.140084878097521681e+00,2.194671736448356114e+00,6.950550152892589040e+00
8.399999856948852539e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,1.047457822022556861e+01,6.213298174587128742e+00,4.035911434192770741e+01,1.081551868296857677e+00,2.559631439891694171e+00,6.982327156258762102e+00
8.500000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,1.046286200049431692e+01,6.200482941965098860e+00,4.037195491463931774e+01,5.663099146178520726e-01,2.877664901117320539e+00,5.458121296475255235e+00
8.599999904632568359e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,1.036544763225185584e+01,6.226060452267562439e+00,4.030244385861004730e+01,1.034645668445703492e+00,1.698808255001937439e+00,6.403999206052674253e+00
8.699999809265136719e+00,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.042932506645692392e+01,6.168355121057498280e+00,4.030538230308096104e+01,1.009139023671279389e+00,1.608561648767459218e+00,6.090791753611966897e+00
8.799999952316284180e+00,-1.029827967137239043e-02,9.503029006069363405e-11,-1.500000022311595918e-02,1.045071851137146091e+01,6.153727705844630691e+00,4.030738837006305175e+01,8.326612603948984059e-01,2.063098605045070144e+00,6.530237262274965815e+00
8.899999856948852539e+00,-1.029827944526204991e-02,6.364010533832509253e-11,-1.800000087908893223e-02,1.054624849506762985e+01,6.092151324176750649e+00,4.038420062474171601e+01,-6.111125355109834345e-01,1.774362246417961586e+00,5.711410574235124216e+00
9.000000000000000000e+00,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.065267718292018273e+01,6.038926884659121086e+00,4.033549796466120085e+01,5.405072934831167686e-03,1.908761307724306633e+00,5.872931588928778979e+00
9.099999904632568359e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,1.069722036933210418e+01,5.989518527881546817e+00,4.032938963252763642e+01,-1.142354393693878478e-02,1.741928462879105410e+00,5.666414798085497750e+00
9.199999809265136719e+00,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,1.068821012023060568e+01,5.963799351763396928e+00,4.027958337400232836e+01,1.602121496495509945e-01,2.180771226000457474e+00,5.545996108987679918e+00
9.299999952316284180e+00,-1.029827945398633510e-02,2.668156581092651081e-10,-1.899999957839214326e-02,1.068915331649529321e+01,5.974451554854036672e+00,4.020712909941354241e+01,-3.159354896570505389e-01,1.362251294691683157e+00,5.576006987139372484e+00
9.399999856948852539e+00,-1.029827972321762861e-02,-1.667913472266913111e-10,-1.600000023903684968e-02,1.067136745732075020e+01,5.977266385757911138e+00,4.021899146267723779e+01,3.412044553065900487e-01,1.518337323868262700e+00,5.828651611297843260e+00
9.500000000000000000e+00,-1.029827939341681348e-02,-1.051168830798476783e-10,-1.700000104048832519e-02,1.071129075346659576e+01,5.963672353781340973e+00,4.017682021685265426e+01,-3.147912854127987714e-01,2.207184507406829255e+00,5.523276267725456989e+00
9.599999904632568359e+00,-1.029827972321762861e-02,-1.667913472266913111e-10,-1.600000023903684968e-02,1.107923534354399209e+01,5.786755269270825508e+00,4.017653314843137480e+01,-2.324607090072774440e-01,1.155277436476636055e+00,5.676861212396218548e+00
9.699999809265136719e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,1.100552332003603517e+01,5.774807710526003390e+00,4.018763653840298389e+01,2.845441897402345433e-02,1.733695764420046359e+00,5.686443491833159669e+00
