time_s,gnss_2d,gnss_3d,pinn_2d,pinn_3d,vel_err,pred_sigma_3d
1.189999985694885254e+01,1.238098068517673411e+01,4.185523574422479953e+01,4.922742529358564156e-01,5.205688551388925944e+00,4.074652578088276300e+00,3.357423019409179688e+01
1.200000000000000000e+01,1.248895074487962198e+01,4.182102755466719657e+01,8.672741532751361282e-01,5.363762843537111635e+00,4.140202290919513750e+00,3.350305938720703125e+01
1.209999990463256836e+01,1.242888702317785565e+01,4.187388831757933616e+01,6.954672756561591784e-01,5.318109350535302760e+00,4.328578487304357125e+00,3.357311248779296875e+01
1.219999980926513672e+01,4.777903198104227478e+00,2.711397945313818880e+01,7.341104445362801600e-01,8.370398771987118680e-01,4.291479720312748825e+00,3.502430343627929688e+01
1.229999995231628418e+01,4.746570458325320097e+00,2.709509408585471135e+01,1.081855472938780593e+00,1.240922714646794267e+00,4.457361676296790698e+00,3.543317413330078125e+01
1.239999985694885254e+01,4.711821451961746732e+00,2.718551645887024293e+01,6.734448182226154822e-01,7.239572719434409498e-01,4.507243153695073445e+00,3.515543746948242188e+01
1.250000000000000000e+01,4.727537595309048157e+00,2.719604443617552647e+01,9.860278236824377984e-01,1.072653359366685821e+00,4.574068330752488087e+00,3.527693176269531250e+01
1.259999990463256836e+01,4.768681440144803219e+00,2.735177463903700712e+01,1.926269607845809695e+00,1.967509236257882987e+00,4.739845193613942520e+00,3.502777481079101562e+01
1.269999980926513672e+01,4.839959957875301200e+00,2.745204122651846390e+01,1.383172108677441114e+00,1.531062352851240815e+00,4.850131944845249343e+00,3.484066009521484375e+01
1.279999995231628418e+01,4.922674360010361738e+00,2.764572757802891090e+01,4.750960900265491227e-01,4.759521815987742821e-01,4.867259293036493517e+00,3.511495590209960938e+01
1.289999985694885254e+01,1.190356841137541366e+01,4.164472673579178519e+01,1.089433468735934163e+00,7.414260152630731682e+00,5.069974630985685238e+00,3.379536056518554688e+01
1.300000000000000000e+01,1.187665912343724628e+01,4.166374065036619356e+01,1.243418491033491335e+00,5.937893999057533456e+00,5.080972124615286134e+00,3.353590774536132812e+01
1.309999990463256836e+01,1.175381285715704749e+01,4.165207731798346202e+01,1.653861366339567596e+00,6.112610673757112423e+00,5.198493797070618427e+00,3.352823257446289062e+01
1.319999980926513672e+01,1.169477685922321619e+01,4.163320060999272698e+01,1.577151254823206283e+00,5.949965207667790246e+00,5.259340550746816056e+00,3.355830764770507812e+01
1.329999995231628418e+01,1.155969088433257852e+01,4.164623485723637231e+01,2.010209714688221627e+00,6.332286333519824062e+00,5.337859162842963023e+00,3.350740814208984375e+01
1.339999985694885254e+01,1.148945161449847241e+01,4.156573775538478088e+01,2.272290884283682644e+00,6.467340969353663205e+00,5.366123916114253767e+00,3.348223876953125000e+01
1.350000000000000000e+01,1.139924410917219966e+01,4.156023296760493935e+01,1.893738059400811524e+00,6.428939627423321923e+00,5.430671572846207162e+00,3.359057998657226562e+01
1.359999990463256836e+01,1.136110882857948923e+01,4.156285404585837284e+01,1.740128932930658179e+00,6.112035289566914997e+00,5.557391143406259282e+00,3.358872985839843750e+01
1.369999980926513672e+01,1.123783594629077420e+01,4.151981096935475790e+01,1.787307566213304000e+00,6.229630979651358480e+00,5.554095763847811007e+00,3.362225341796875000e+01
1.379999995231628418e+01,1.119465213146458282e+01,4.141987849691573587e+01,2.178048167906333266e+00,6.789099015369840728e+00,5.677477449704860568e+00,3.340620803833007812e+01
1.389999985694885254e+01,1.112191903500174561e+01,4.137699726420304813e+01,2.188888586669885505e+00,6.400201962596200111e+00,5.752150187578016549e+00,3.356181335449218750e+01
1.400000000000000000e+01,1.101787453153050933e+01,4.135658207393446872e+01,2.369684498901234004e+00,6.383950773706606796e+00,5.828341149020377365e+00,3.354632186889648438e+01
1.409999990463256836e+01,1.098224440412829850e+01,4.130619418156059908e+01,2.475593448127255680e+00,6.351737605314371038e+00,5.862293071944472800e+00,3.360575485229492188e+01
1.419999980926513672e+01,1.096695754378920284e+01,4.126493172102575357e+01,2.069234842973417976e+00,6.281782769009402578e+00,6.007001971061234791e+00,3.367812347412109375e+01
1.429999995231628418e+01,1.088038349858035936e+01,4.128356099697909087e+01,2.081098020832908180e+00,6.707636048096602188e+00,6.050996001873564900e+00,3.362314987182617188e+01
1.439999985694885254e+01,1.094591072015160726e+01,4.129004143434121943e+01,2.626005764893389216e+00,6.549826914237997677e+00,6.172235928459518739e+00,3.334873962402343750e+01
1.450000000000000000e+01,1.087879983809338391e+01,4.119920212065712661e+01,2.849122248579146088e+00,6.769333410324647637e+00,6.273095675262909232e+00,3.350859832763671875e+01
1.459999990463256836e+01,1.081652185891131346e+01,4.118560067225549659e+01,2.698730677433144987e+00,6.571010967259681479e+00,6.280027286824186206e+00,3.345783233642578125e+01
1.469999980926513672e+01,1.084299528191030149e+01,4.113091530338102331e+01,1.596526944360958433e+00,8.417676802081397014e+00,6.406600346825565673e+00,3.354578399658203125e+01
1.479999995231628418e+01,1.081031917677382737e+01,4.109787195698584839e+01,1.953240308718152685e+00,9.644979998125840837e+00,6.560411661556538654e+00,3.376006317138671875e+01
1.489999985694885254e+01,1.073957785936517872e+01,4.105351847731593296e+01,2.219992300589952894e+00,8.501988892270182063e+00,6.615071819627814875e+00,3.344140625000000000e+01
1.500000000000000000e+01,1.063879795837888587e+01,4.090633023902125842e+01,2.161919685062215102e+00,8.174508653043440987e+00,6.646925580497605957e+00,3.339479827880859375e+01
1.509999990463256836e+01,1.059051458385402000e+01,4.088147979346636873e+01,1.765081370041219344e+00,7.544559361014830934e+00,6.753704858294158342e+00,3.326616287231445312e+01
1.519999980926513672e+01,1.054423233583963437e+01,4.087162235167618718e+01,2.940333852342480458e+00,7.829562503433146858e+00,6.897349072065883213e+00,3.321780776977539062e+01
1.529999995231628418e+01,1.044651024335902889e+01,4.083043689380078689e+01,3.075326480702778476e+00,7.276276108961758027e+00,6.953076767002508873e+00,3.331502914428710938e+01
1.539999985694885254e+01,1.039961845464539181e+01,4.078527707288913007e+01,3.584189970815363058e+00,8.330452120426928175e+00,7.043342007443526676e+00,3.337395858764648438e+01
1.550000000000000000e+01,1.027629695507598129e+01,4.069471924895890425e+01,3.503926805483926099e+00,8.325825204315147943e+00,7.097190510939104691e+00,3.340025711059570312e+01
1.559999990463256836e+01,1.027621338901801984e+01,4.067873670619783155e+01,3.170357506215197407e+00,7.893049594432739902e+00,7.175666593628509560e+00,3.322542190551757812e+01
1.569999980926513672e+01,1.021496543361189957e+01,4.068939418786012396e+01,2.588998712388353773e+00,7.801820382601705184e+00,7.175666593628509560e+00,3.333289718627929688e+01
1.579999995231628418e+01,1.024071723838131476e+01,4.073478132835101917e+01,2.981187356506183939e+00,8.313870812164665836e+00,7.282763095632295958e+00,3.339834594726562500e+01
1.589999985694885254e+01,1.020432230191092771e+01,4.074260822050493402e+01,2.478086896966902763e+00,7.860829596984459933e+00,7.367042886125859447e+00,3.333708190917968750e+01
1.600000000000000000e+01,1.016665460648337671e+01,4.076109880157220999e+01,3.494919796874877527e+00,7.834660888922612365e+00,7.414655358012273823e+00,3.344676589965820312e+01
1.609999990463256836e+01,1.010394853555217765e+01,4.069728101542466447e+01,4.271323582385390338e+00,8.260902154930134245e+00,7.540625593600125853e+00,3.325308990478515625e+01
1.619999980926513672e+01,1.006288550426602768e+01,4.069168607023657103e+01,3.585075321496432377e+00,7.799739056596657782e+00,7.565623871617535023e+00,3.344662475585937500e+01
1.629999995231628418e+01,1.001786136858392773e+01,4.069318519187154237e+01,3.469658097850031986e+00,7.905110359687182786e+00,7.670312850352513756e+00,3.349357604980468750e+01
