time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
7.000000000000000000e+00,4.704041438125412533e+00,2.730307904523326457e+01,6.828121341865161398e+00,6.834286620130169077e+00
7.099999904632568359e+00,1.204846956586681905e+01,4.223175555102186962e+01,1.020200802670833085e+01,1.310074438477863090e+01
7.199999809265136719e+00,1.209921741033040377e+01,4.228941733875339537e+01,9.388306865170113369e+00,1.240022783047577626e+01
7.299999952316284180e+00,1.209941091975452032e+01,4.226010256216088834e+01,9.763738462183757960e+00,1.409995710236588096e+01
7.399999856948852539e+00,1.202867642845225937e+01,4.225885207901592366e+01,9.072588043026593496e+00,1.198399488296648485e+01
7.500000000000000000e+00,1.213575483200040850e+01,4.222985081702768184e+01,9.134472267479994301e+00,1.211300081321054911e+01
7.599999904632568359e+00,1.211213108048285392e+01,4.225127997161878568e+01,1.000457302490640288e+01,1.310365621469882669e+01
7.699999809265136719e+00,1.197561189389096548e+01,4.218049391948241578e+01,9.922701878918200435e+00,1.291442257011680006e+01
7.799999952316284180e+00,1.203231797661624825e+01,4.221781941651951797e+01,9.396496519881141651e+00,1.226149230693765624e+01
7.899999856948852539e+00,1.201276976140165687e+01,4.223646927997906886e+01,9.875369800137413279e+00,1.256622275460900262e+01
8.000000000000000000e+00,1.210088462711444635e+01,4.227273818342533929e+01,1.024158499979099801e+01,1.236851894129619645e+01
8.099999904632568359e+00,1.215602558409456613e+01,4.226040762367236425e+01,1.053323447638281429e+01,1.331355917246871101e+01
8.199999809265136719e+00,1.205913940127348916e+01,4.216772775006817398e+01,9.797274296745772659e+00,1.277165708819125634e+01
8.299999952316284180e+00,1.219891797824929291e+01,4.213122722981710666e+01,9.546074567126025201e+00,1.312609818792224381e+01
8.399999856948852539e+00,1.218760480128776003e+01,4.216683091866644162e+01,9.595200566439592293e+00,1.409754163344742039e+01
8.500000000000000000e+00,1.217099323488849016e+01,4.217049691824675506e+01,9.330928235370610224e+00,1.328849336095215072e+01
8.599999904632568359e+00,1.210041046109659568e+01,4.208838839773378737e+01,9.549690921565707313e+00,1.351744824064381056e+01
8.699999809265136719e+00,1.212577180486007578e+01,4.210137356809797637e+01,1.005107951858673587e+01,1.331270912162656828e+01
8.799999952316284180e+00,1.213677215492099748e+01,4.210933674214282973e+01,9.943982128686963406e+00,1.312235330914451836e+01
8.899999856948852539e+00,1.218831362145721364e+01,4.220062562274740969e+01,1.009261865448302764e+01,1.340454426446455116e+01
