time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,nonpinn_E,nonpinn_N,nonpinn_U
5.399999856948852539e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,2.464400300167721269e+00,-3.765200320227732433e+00,2.756020451561800755e+01,1.093315848492306230e+00,-5.831007901175608410e+00,-1.089970698195774190e+00
5.500000000000000000e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.467544023855689161e+00,-3.775268766723767655e+00,2.761068545454951817e+01,6.947924541077643568e-01,-5.961062881790295975e+00,-1.982654823122295795e+00
5.599999904632568359e+00,2.261103405204467620e-10,-3.139018537288984501e-11,-3.000000655972971317e-03,2.294637803905219542e+00,-3.782125749021186145e+00,2.750768334846393159e+01,-1.785873128245167862e-01,-5.308336414724005969e+00,-4.317777562333187547e+00
5.699999809265136719e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.502546798328925348e+00,-3.746299521594845139e+00,2.754233757276135464e+01,9.209246746106636294e-01,-5.846818940311275803e+00,-1.872827642969312478e+00
5.799999952316284180e+00,1.224198665616266224e-10,3.061237910297748277e-10,-5.000000333174184526e-03,2.484669554155928495e+00,-3.746755764943856093e+00,2.739096833677627529e+01,1.034729707163435819e+00,-5.671540782911080214e+00,-3.863402352615814550e+00
5.899999856948852539e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.460110328224804022e+00,-3.748459075745150137e+00,2.732826487340189203e+01,1.514847896126415350e+00,-6.309496139343782950e+00,-1.726596131993758831e+00
6.000000000000000000e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.498010538953899129e+00,-3.706464910574549521e+00,2.734879273212930784e+01,1.568347953695415242e+00,-5.970714712210291708e+00,-5.858795043132580815e-01
6.099999904632568359e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,2.497042316615877056e+00,-3.701411334330114933e+00,2.730183682022761360e+01,-5.652481134530926710e-01,-5.109902945810827823e+00,-4.609011558907518236e+00
6.199999809265136719e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,2.604622794444710010e+00,-3.667289153893494635e+00,2.746027932703395891e+01,3.018426430775225100e-01,-5.396767989953064948e+00,-1.962107945085563188e+00
6.299999952316284180e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.655081792799300899e+00,-3.660891102732869662e+00,2.757918785885157220e+01,1.609473510710067501e+00,-5.834708975733968295e+00,-1.438996333627084567e+00
6.399999856948852539e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.680977953600438113e+00,-3.636591078438087266e+00,2.763060578322488681e+01,2.200702739882023806e+00,-6.362236382164283555e+00,1.707401037997158255e-03
6.500000000000000000e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.753053570412482998e+00,-3.590476652598527885e+00,2.774286193456740079e+01,2.090607071541633388e+00,-6.232183357691911674e+00,-8.972919801226169056e-01
6.599999904632568359e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.713436156365849783e+00,-3.551002890028257752e+00,2.773965908745202569e+01,2.570727214071728994e+00,-6.278234154142637635e+00,-1.219799353751227500e-01
6.699999809265136719e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.910014549711785747e+00,-3.977888824848094806e+00,2.697468226873788666e+01,2.245286027411065533e+00,-6.703621628192821369e+00,-4.937576678999917590e-01
6.799999952316284180e+00,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,2.949294635801155806e+00,-3.912056654983411264e+00,2.710448517754190334e+01,3.064230473487217665e+00,-7.040448159271130990e+00,3.522750373136318558e-01
6.899999856948852539e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,2.622555486322417195e+00,-3.909286275686243428e+00,2.690100948046145390e+01,1.600765816331877645e+00,-5.948026910604456319e+00,-1.104683716788912307e+00
7.000000000000000000e+00,-1.029827953011645120e-02,1.107355549948867840e-02,-7.999999493818575266e-03,2.566269590320480631e+00,-3.924571661044841342e+00,2.688679726859878016e+01,2.166258259477508830e+00,-6.460853723575358920e+00,-2.982284233873038204e-01
7.099999904632568359e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.016751400287349227e+01,6.448081474204116148e+00,4.046960508604787776e+01,1.013535048346121314e+01,1.070877532858901304e+00,8.211791632373561356e+00
7.199999809265136719e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,1.024997125066575876e+01,6.412326392615046444e+00,4.051564555078888219e+01,9.067196468484972627e+00,2.395703372442927304e+00,8.094947146476748401e+00
7.299999952316284180e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,1.027882220274418756e+01,6.366297429789133488e+00,4.048599313786493781e+01,9.500809807839097232e+00,2.206674283732004582e+00,1.016742359688745978e+01
7.399999856948852539e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,1.018583922870707603e+01,6.381836350122183532e+00,4.050775812197444736e+01,8.637960844116927106e+00,2.742164786020010681e+00,7.826704960353353613e+00
7.500000000000000000e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,1.033342572900192380e+01,6.346961290788215138e+00,4.044553218479984480e+01,8.527620880330964326e+00,3.246924669694465138e+00,7.952262741287881909e+00
7.599999904632568359e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.030737974863983197e+01,6.344228721723855102e+00,4.047098094270342017e+01,9.866913255271683170e+00,1.591280437574685180e+00,8.455524743057424075e+00
7.699999809265136719e+00,3.398059216820625839e-10,4.733053489067162722e-11,-8.999999865770651197e-03,1.012323058053513236e+01,6.398084311253375844e+00,4.043576217100611814e+01,9.807137135710913611e+00,1.509991316563434438e+00,8.256730322098647434e+00
7.799999952316284180e+00,2.745367778597684882e-11,9.883588739101334397e-12,-6.000001488392468427e-03,1.021954994864703004e+01,6.351179003791161293e+00,4.046087040376347232e+01,9.101328665688045660e+00,2.336656451300926918e+00,7.871185202118574864e+00
7.899999856948852539e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,1.017443312471406358e+01,6.370077097820178835e+00,4.048913134792363167e+01,9.734525186472104963e+00,1.600419962810413210e+00,7.767908947258348462e+00
8.000000000000000000e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.031932879646109136e+01,6.303190611344724914e+00,4.049674039563021211e+01,1.019215298850821050e+01,8.944558129133284297e-01,6.927709633911462106e+00
